2024-09-02 12:49:00 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x106e7bd90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:49:00 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x106e7beb0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:58:53 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10d5d7820>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:58:53 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10d5d7970>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:58:53 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10d5d7a00>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:58:53 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10d5d7ee0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:58:53 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10d68c040>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:58:53 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10d68c0d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:05:39 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b577820>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:05:39 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b577970>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:05:39 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b577a00>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:05:39 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b577ee0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:05:39 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b62c040>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:05:39 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b62c0d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:12:39 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1110477f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:12:39 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1110478e0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:12:39 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111047a00>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:12:39 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111047ee0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:12:39 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1110f8040>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:12:39 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111045c30>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:19:26 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1136af7f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:19:26 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1136af8e0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:19:26 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1136afa00>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:19:26 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1136afee0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:19:26 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x113764040>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:19:26 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1137640d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:30:55 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10fb47850>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
